shlok_number,shlok_text
235,ਅੰਤੁ ਨ ਵੇਖਿਣ ਸੁਣਿਣ ਨ ਅਤੰ ੁ ॥
236,ਅਤੰ ੁ ਨ ਜਾਪੈ ਿਕਆ ਮਿਨ ਮੰਤੁ ॥
237,ਅੰਤੁ ਨ ਜਾਪੈ ਕੀਤਾ ਆਕਾਰ ੁ ॥
238,ਅੰਤੁ ਨ ਜਾਪੈ ਪਾਰਾਵਾਰ ੁ ॥
239,ਅਤੰ ਕਾਰਿਣ ਕੇਤੇ ਿਬਲਲਾਿਹ ॥
240,ਤਾ ਕੇ ਅੰਤ ਨ ਪਾਏ ਜਾਿਹ ॥
241,ਏਹ ੁ ਅਤੰ ੁ ਨ ਜਾਣੈ ਕਇੋ ॥
242,ਬਹਤੁ ਾ ਕਹੀਐ ਬਹਤੁ ਾ ਹੋਇ ॥
243,ਵਡਾ ਸਾਿਹਬੁ ਊਚਾ ਥਾਉ ॥
244,ਊਚੇ ਉਪਿਰ ਊਚਾ ਨਾਉ ॥
245,ਏਵਡੁ ਊਚਾ ਹੋਵੈ ਕੋਇ ॥
246,ਿਤਸੁ ਊਚੇ ਕਉ ਜਾਣੈ ਸੋਇ ॥
247,ਜੇਵਡੁ ਆਿਪ ਜਾਣੈ ਆਿਪ ਆਿਪ ॥
248,ਨਾਨਕ ਨਦਰੀ ਕਰਮੀ ਦਾਿਤ ॥
249,੨੪ ॥
250,ਬਹਤੁ ਾ ਕਰਮੁ ਿਲਿਖਆ ਨਾ ਜਾਇ ॥
251,ਵਡਾ ਦਾਤਾ ਿਤਲੁ ਨ ਤਮਾਇ ॥
252,ਕੇਤੇ ਮੰਗਿਹ ਜੋਧ ਅਪਾਰ ॥
253,ਕੇਿਤਆ ਗਣਤ ਨਹੀ ਵੀਚਾਰ ੁ ॥
254,ਕੇਤੇ ਖਿਪ ਤੁਟਿਹ ਵੇਕਾਰ ॥
255,ਕੇਤੇ ਲੈ ਲੈ ਮੁਕਰੁ ਪਾਿਹ ॥
256,ਕੇਤੇ ਮੂਰਖ ਖਾਹੀ ਖਾਿਹ ॥
257,ਕੇਿਤਆ ਦਖੂ ਭੂਖ ਸਦ ਮਾਰ ॥
258,ਏਿਹ ਿਭ ਦਾਿਤ ਤੇਰੀ ਦਾਤਾਰ ॥
